day,Team_A_skill_sol_flag,Team_A_pref_sol_flag,Team_A_total_skills,Team_A_work_cost,Team_A_train_cost,Team_A_excess_after_skill,Team_A_excess_after_pref,Team_A_present,Team_A_gohome_cost,Team_A_gohome_skill_sol_flag,Team_A_pref_match_after_skill,Team_A_pref_match_after_pref,Team_B_skill_sol_flag,Team_B_pref_sol_flag,Team_B_total_skills,Team_B_work_cost,Team_B_train_cost,Team_B_excess_after_skill,Team_B_excess_after_pref,Team_B_present,Team_B_gohome_cost,Team_B_gohome_skill_sol_flag,Team_B_pref_match_after_skill,Team_B_pref_match_after_pref,Team_C_skill_sol_flag,Team_C_pref_sol_flag,Team_C_total_skills,Team_C_work_cost,Team_C_train_cost,Team_C_excess_after_skill,Team_C_excess_after_pref,Team_C_present,Team_C_gohome_cost,Team_C_gohome_skill_sol_flag,Team_C_pref_match_after_skill,Team_C_pref_match_after_pref,Team_D_skill_sol_flag,Team_D_pref_sol_flag,Team_D_total_skills,Team_D_work_cost,Team_D_train_cost,Team_D_excess_after_skill,Team_D_excess_after_pref,Team_D_present,Team_D_gohome_cost,Team_D_gohome_skill_sol_flag,Team_D_pref_match_after_skill,Team_D_pref_match_after_pref,Team_E_skill_sol_flag,Team_E_pref_sol_flag,Team_E_total_skills,Team_E_work_cost,Team_E_train_cost,Team_E_excess_after_skill,Team_E_excess_after_pref,Team_E_present,Team_E_gohome_cost,Team_E_gohome_skill_sol_flag,Team_E_pref_match_after_skill,Team_E_pref_match_after_pref,Team_F_skill_sol_flag,Team_F_pref_sol_flag,Team_F_total_skills,Team_F_work_cost,Team_F_train_cost,Team_F_excess_after_skill,Team_F_excess_after_pref,Team_F_present,Team_F_gohome_cost,Team_F_gohome_skill_sol_flag,Team_F_pref_match_after_skill,Team_F_pref_match_after_pref,Team_G_skill_sol_flag,Team_G_pref_sol_flag,Team_G_total_skills,Team_G_work_cost,Team_G_train_cost,Team_G_excess_after_skill,Team_G_excess_after_pref,Team_G_present,Team_G_gohome_cost,Team_G_gohome_skill_sol_flag,Team_G_pref_match_after_skill,Team_G_pref_match_after_pref
0,False,False,50,,,,,11,,False,,,False,False,60,,,,,12,,False,,,False,False,69,,,,,12,,False,,,False,False,34,,,,,7,,False,,,False,False,34,,,,,8,,False,,,True,True,45,3840.0,0.0,0.0,0.0,12,3840.0,True,8.0,10.0,False,False,50,,,,,8,,False,,
1,True,True,50,4160.0,640.0,2.0,2.0,15,4480.0,True,9.0,13.0,True,True,60,4160.0,640.0,2.0,2.0,15,4480.0,True,11.0,12.0,True,True,69,3840.0,320.0,1.0,1.0,13,4000.0,True,8.0,10.0,True,True,34,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,8.0,True,True,34,2880.0,0.0,0.0,0.0,9,2880.0,True,9.0,9.0,True,True,45,3520.0,1280.0,4.0,4.0,15,4160.0,True,8.0,11.0,True,True,50,3840.0,0.0,0.0,0.0,12,3840.0,True,9.0,10.0
2,True,True,50,4160.0,640.0,2.0,2.0,15,4480.0,True,9.0,13.0,True,True,60,4160.0,320.0,1.0,1.0,14,4320.0,True,8.0,11.0,True,True,69,4480.0,0.0,0.0,0.0,14,4480.0,True,8.0,10.0,True,True,34,2880.0,320.0,2.0,2.0,11,3200.0,True,7.0,9.0,True,True,34,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,8.0,True,True,45,3520.0,1280.0,4.0,4.0,15,4160.0,True,8.0,11.0,False,False,50,,,,,11,,False,,
3,False,False,50,,,,,11,,False,,,False,False,60,,,,,11,,False,,,False,False,69,,,,,11,,False,,,True,True,34,2880.0,320.0,1.0,1.0,10,3040.0,True,9.0,9.0,False,False,34,,,,,9,,False,,,True,True,45,3840.0,0.0,0.0,0.0,12,3840.0,True,8.0,9.0,False,False,50,,,,,7,,False,,
4,True,True,50,4160.0,320.0,1.0,1.0,14,4320.0,True,12.0,13.0,False,False,60,,,,,11,,False,,,False,False,69,,,,,11,,False,,,False,False,34,,,,,6,,False,,,False,False,34,,,,,6,,False,,,True,True,45,3520.0,640.0,2.0,2.0,13,3840.0,True,9.0,10.0,True,True,50,3520.0,640.0,2.0,2.0,13,3840.0,True,11.0,11.0
5,False,False,50,,,,,13,,False,,,True,True,60,4160.0,640.0,2.0,2.0,15,4480.0,True,11.0,13.0,True,True,69,3840.0,1280.0,4.0,4.0,16,4480.0,True,8.0,12.0,True,True,34,2880.0,320.0,1.0,1.0,10,3040.0,True,9.0,9.0,True,True,34,2880.0,0.0,1.0,1.0,10,3040.0,True,8.0,9.0,True,True,45,3840.0,0.0,0.0,0.0,12,3840.0,True,7.0,10.0,False,False,50,,,,,11,,False,,
6,True,True,50,4160.0,320.0,1.0,1.0,14,4320.0,True,12.0,12.0,True,True,60,4160.0,640.0,2.0,2.0,15,4480.0,True,8.0,11.0,True,True,69,3840.0,0.0,0.0,0.0,12,3840.0,True,7.0,10.0,False,False,34,,,,,7,,False,,,False,False,34,,,,,6,,False,,,True,True,45,3520.0,960.0,3.0,3.0,14,4000.0,True,7.0,10.0,True,True,50,3520.0,640.0,2.0,2.0,13,3840.0,True,11.0,11.0
7,False,False,50,,,,,12,,False,,,False,False,60,,,,,13,,False,,,False,False,69,,,,,13,,False,,,False,False,34,,,,,8,,False,,,True,True,34,2880.0,320.0,1.0,1.0,10,3040.0,True,8.0,8.0,True,True,45,3520.0,320.0,2.0,2.0,13,3840.0,True,9.0,10.0,True,True,50,3840.0,0.0,0.0,0.0,12,3840.0,True,8.0,10.0
8,True,True,50,4160.0,0.0,1.0,1.0,14,4320.0,True,12.0,12.0,False,False,60,,,,,9,,False,,,False,False,69,,,,,10,,False,,,False,False,34,,,,,9,,False,,,True,True,34,2880.0,0.0,1.0,1.0,10,3040.0,True,8.0,9.0,True,True,46,3520.0,320.0,2.0,2.0,13,3840.0,True,9.0,11.0,True,True,50,3520.0,0.0,0.0,0.0,11,3520.0,True,11.0,11.0
9,False,False,51,,,,,9,,False,,,True,True,60,4160.0,960.0,4.0,4.0,17,4800.0,True,9.0,13.0,True,True,69,3840.0,640.0,2.0,2.0,14,4160.0,True,7.0,10.0,False,False,34,,,,,9,,False,,,False,False,34,,,,,9,,False,,,False,False,47,,,,,10,,False,,,False,False,50,,,,,10,,False,,
